Year,Percentage,Age-Adjusted Percentage
1980,2.5,2.8
1981,2.5,2.8
1982,2.5,2.8
1983,2.4,2.7
1984,2.6,2.8
1985,2.6,2.9
1986,2.8,3.1
1987,2.8,3
1988,2.6,2.8
1989,2.7,2.9
1990,2.5,2.7
1991,2.9,3.1
1992,2.9,3.1
1993,3.1,3.2
1994,3,3.2
1995,3.3,3.5
1996,2.9,3
1997,3.8,4
1998,3.9,4.1
1999,4,4.1
2000,4.4,4.5
2001,4.7,4.8
2002,4.8,4.9
2003,4.9,4.9
2004,5.3,5.2
2005,5.6,5.5
2006,5.9,5.7
2007,5.9,5.6
2008,6.3,5.9
2009,6.9,6.4
2010,7,6.5
2011,6.8,6.3
2012,7,6.3
2013,7.2,6.5
2014,7,6.2
2015,7.4,6.5
2016,7.3,6.4
2017,7.2,6.3
